balls,strikes,game_year,batter,pitch_number,at_bat_number,home_score,away_score,on_3b,on_2b,on_1b,outs_when_up,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_Extreme outfield shift,of_fielding_alignment_Standard,of_fielding_alignment_Strategic,pitch_bin
2,1,2008,435401,4,17,1,1,0.0,0.0,453895.0,0,0,0,0,0,0,0,1
1,2,2008,136267,5,41,2,2,0.0,405395.0,407886.0,1,0,0,0,0,0,0,0
0,0,2008,407886,1,23,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0
0,0,2008,425487,1,32,2,1,0.0,0.0,285131.0,1,0,0,0,0,0,0,1
0,1,2008,425487,2,32,2,1,0.0,0.0,285131.0,1,0,0,0,0,0,0,1
1,2,2008,425487,4,32,2,1,0.0,0.0,285131.0,1,0,0,0,0,0,0,0
2,0,2008,435401,3,17,1,1,0.0,0.0,453895.0,0,0,0,0,0,0,0,1
0,2,2008,453895,3,33,2,1,0.0,285131.0,0.0,2,0,0,0,0,0,0,1
0,1,2008,285131,2,31,2,1,0.0,0.0,150178.0,0,0,0,0,0,0,0,0
0,0,2008,435401,1,37,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,0,2008,453895,1,33,2,1,0.0,285131.0,0.0,2,0,0,0,0,0,0,0
0,1,2008,453895,2,33,2,1,0.0,285131.0,0.0,2,0,0,0,0,0,0,0
0,0,2008,285131,1,31,2,1,0.0,0.0,150178.0,0,0,0,0,0,0,0,1
1,1,2008,435401,3,37,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,1,2008,136267,3,24,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,0
1,0,2008,136267,2,24,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,0
0,0,2008,136267,1,24,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,2,2008,407886,3,23,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,1,2008,407886,2,23,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,2,2008,405395,4,22,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,0,2008,405395,2,22,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,405395,1,22,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,1,2008,435401,2,37,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,1,2008,136267,4,24,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,0,2008,150178,1,30,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,2,2008,150178,6,42,2,2,0.0,405395.0,407886.0,2,0,0,0,0,0,0,0
0,0,2008,446382,1,18,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
1,2,2008,150178,5,42,2,2,0.0,405395.0,407886.0,2,0,0,0,0,0,0,1
2,2,2008,136267,6,41,2,2,0.0,405395.0,407886.0,1,0,0,0,0,0,0,1
1,2,2008,435401,4,37,2,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,2,2008,136267,3,41,2,2,0.0,405395.0,407886.0,1,0,0,0,0,0,0,1
1,2,2008,136267,4,41,2,2,0.0,405395.0,407886.0,1,0,0,0,0,0,0,1
1,0,2008,446382,2,18,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,2,2008,150178,3,42,2,2,0.0,405395.0,407886.0,2,0,0,0,0,0,0,1
0,0,2008,150178,1,42,2,2,0.0,405395.0,407886.0,2,0,0,0,0,0,0,1
0,1,2008,150178,2,42,2,2,0.0,405395.0,407886.0,2,0,0,0,0,0,0,0
1,2,2008,150178,4,42,2,2,0.0,405395.0,407886.0,2,0,0,0,0,0,0,0
0,0,2008,446382,1,38,2,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0
1,0,2008,407886,2,40,2,1,446382.0,0.0,405395.0,1,0,0,0,0,0,0,1
0,1,2008,446382,2,38,2,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,407886,1,40,2,1,446382.0,0.0,405395.0,1,0,0,0,0,0,0,0
3,2,2008,405395,6,39,2,1,0.0,0.0,446382.0,1,0,0,0,0,0,0,1
2,2,2008,405395,5,39,2,1,0.0,0.0,446382.0,1,0,0,0,0,0,0,0
1,2,2008,405395,4,39,2,1,0.0,0.0,446382.0,1,0,0,0,0,0,0,0
1,1,2008,405395,3,39,2,1,0.0,0.0,446382.0,1,0,0,0,0,0,0,1
0,1,2008,405395,2,39,2,1,0.0,0.0,446382.0,1,0,0,0,0,0,0,1
0,0,2008,405395,1,39,2,1,0.0,0.0,446382.0,1,0,0,0,0,0,0,0
0,2,2008,446382,3,38,2,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,136267,1,41,2,2,0.0,405395.0,407886.0,1,0,0,0,0,0,0,1
0,1,2008,136267,2,41,2,2,0.0,405395.0,407886.0,1,0,0,0,0,0,0,1
1,1,2008,405395,3,22,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,2,2008,425487,3,32,2,1,0.0,0.0,285131.0,1,0,0,0,0,0,0,1
1,0,2008,435401,2,17,1,1,0.0,0.0,453895.0,0,0,0,0,0,0,0,1
0,0,2008,150178,1,10,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,435401,1,17,1,1,0.0,0.0,453895.0,0,0,0,0,0,0,0,1
1,1,2008,453895,3,16,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,453895,2,16,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,0,2008,453895,1,16,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,2,2008,425487,3,12,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,0
0,0,2008,425487,1,12,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
3,2,2008,285131,7,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
2,2,2008,285131,6,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,2,2008,285131,5,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,1,2008,285131,3,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,1,2008,425487,2,12,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,0,2008,285131,1,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,0,2008,150178,2,10,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,2,2008,285131,4,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0
0,1,2008,285131,2,11,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2,2,2008,136860,6,26,2,3,408314.0,112116.0,431151.0,1,0,0,0,0,0,0,1
2,2,2008,113232,5,33,3,4,0.0,0.0,135783.0,0,0,0,0,0,0,0,0
0,0,2008,135783,1,32,3,4,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,123107,1,27,3,3,112116.0,0.0,431151.0,2,0,0,0,0,0,0,0
2,1,2008,113232,4,33,3,4,0.0,0.0,135783.0,0,0,0,0,0,0,0,1
2,0,2008,113232,3,33,3,4,0.0,0.0,135783.0,0,0,0,0,0,0,0,1
1,0,2008,113232,2,33,3,4,0.0,0.0,135783.0,0,0,0,0,0,0,0,0
0,0,2008,113232,1,33,3,4,0.0,0.0,135783.0,0,0,0,0,0,0,0,0
1,0,2008,136860,2,26,2,3,408314.0,112116.0,431151.0,1,0,0,0,0,0,0,1
2,2,2008,136860,5,26,2,3,408314.0,112116.0,431151.0,1,0,0,0,0,0,0,1
1,2,2008,136860,4,26,2,3,408314.0,112116.0,431151.0,1,0,0,0,0,0,0,1
1,1,2008,136860,3,26,2,3,408314.0,112116.0,431151.0,1,0,0,0,0,0,0,1
0,0,2008,408314,1,8,0,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,136860,1,26,2,3,408314.0,112116.0,431151.0,1,0,0,0,0,0,0,1
0,0,2008,452783,1,34,3,4,0.0,135783.0,113232.0,0,0,0,0,0,0,0,1
1,0,2008,123107,2,27,3,3,112116.0,0.0,431151.0,2,0,0,0,0,0,0,1
2,1,2008,431151,4,25,2,3,0.0,408314.0,112116.0,1,0,0,0,0,0,0,0
1,2,2008,408314,4,36,3,4,113232.0,452783.0,429720.0,1,0,0,0,0,0,0,1
1,1,2008,408314,3,36,3,4,113232.0,452783.0,429720.0,1,0,0,0,0,0,0,1
2,2,2008,113232,6,33,3,4,0.0,0.0,135783.0,0,0,0,0,0,0,0,1
1,1,2008,431151,3,25,2,3,0.0,408314.0,112116.0,1,0,0,0,0,0,0,1
0,1,2008,408314,2,36,3,4,113232.0,452783.0,429720.0,1,0,0,0,0,0,0,0
3,1,2008,112116,5,37,4,4,0.0,429720.0,408314.0,2,0,0,0,0,0,0,1
3,0,2008,112116,4,37,4,4,0.0,429720.0,408314.0,2,0,0,0,0,0,0,1
2,0,2008,112116,3,37,4,4,0.0,429720.0,408314.0,2,0,0,0,0,0,0,1
1,0,2008,112116,2,37,4,4,0.0,429720.0,408314.0,2,0,0,0,0,0,0,1
